season,week,team,vam_lost
2022,7,HOU,20.0
2022,7,IND,38.0
2022,7,JAX,15.767244547689732
2022,7,KC,2.0
2022,7,LAC,19.881792236163342
2022,7,LV,12.1684398536518
2022,7,MIA,1.1489623326342602
2022,7,NO,9.0
2022,7,NYG,28.28647862204219
2022,7,NYJ,4.1970849489352196
2022,7,PIT,9.0
2022,7,SEA,0.0
2022,7,SF,12.0
2022,7,TB,24.3809976857338
2022,7,TEN,2.0
2022,7,WAS,31.491391362078613
2022,8,ARI,21.476372871046692
2022,8,ATL,19.0
2022,8,BAL,3.0
2022,8,BUF,0.0
2022,8,CAR,0.0
2022,8,CHI,0.0
2022,8,CIN,69.11249873191878
2022,8,CLE,31.001412802207245
2022,8,DAL,0.0
2022,8,DEN,10.0
2022,8,DET,35.0
2022,8,GB,39.344342182310356
2022,8,IND,12.0
2022,8,JAX,7.23283927468583
2022,8,LA,0.0
2022,8,MIA,0.0
2022,8,NE,3.0
2022,8,NO,9.0
2022,8,NYG,0.0
2022,8,NYJ,0.0
2022,8,PIT,20.0
2022,8,SEA,2.005029065418057
2022,8,SF,105.46464164541365
2022,8,TB,28.49708630586398
2022,8,TEN,0.0
2022,8,WAS,18.0
2022,9,ARI,0.0
2022,9,ATL,13.0
2022,9,BAL,69.86348212903879
2022,9,BUF,21.0
2022,9,CAR,8.273095316
2022,9,CIN,77.11249873191878
2022,9,DET,23.8842784421475
2022,9,GB,14.0
2022,9,HOU,8.0
2022,9,IND,40.70242240792141
2022,9,KC,5.35171891207574
2022,9,LA,0.0
2022,9,LAC,116.0740501609828
2022,9,MIA,0.0
2022,9,MIN,5.0
2022,9,NE,24.0618967613669
2022,9,NO,9.0
2022,9,NYJ,0.0
2022,9,PHI,2.0
2022,9,SEA,25.63272781433369
2022,9,TB,23.49708630586398
2022,9,TEN,8.06227189977653
2022,9,WAS,27.93296741268872
2022,10,ARI,0.0
2022,10,ATL,14.0
2022,10,BUF,34.0
2022,10,CAR,8.273095316
2022,10,CHI,16.0
2022,10,CLE,28.001412802207245
2022,10,DAL,14.0
2022,10,DEN,5.07608739298303
2022,10,DET,18.8842784421475
