season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2017,2,BUF,REG,CAR,17,25,125,0,0,3,-18,0,0,162,85,8,-5.86438365366929,4.88427722454071,0,23,69,0,0,0,2,-7.60080878203735,0,17,25,125,0,1,0,162,85,8,-1.97729577094004,0,0,39,0,38,12,59,0,6,50,7,0,0,7,0,1,0,0,1,1,0,0,0,5,44,4,2,2,0,0,1,1,0,0,45.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,45,,,45,0,0,0,0,0,0,,0,0,0,0,0
2017,2,CAR,REG,BUF,20,32,228,0,0,6,-50,0,0,276,69,12,-0.960147457375571,1.73767194632561,0,28,77,0,0,0,7,-6.41294965105772,0,20,31,228,0,0,0,276,69,12,10.2438958751424,0,0,36,0,16,6,30,1,3,18,6,0,0,2,0,0,0,0,0,0,0,0,0,6,40,3,5,30,0,0,3,3,0,0,34.0,1.0,0,2,1,0,0,0,0,0,0,0,0,0,34;28;20,,,82,0,0,0,0,0,0,,0,0,0,0,0
2017,2,CHI,REG,TB,31,45,301,1,2,1,-11,1,1,313,75,16,-6.68908150936477,5.68194621139103,0,16,20,0,0,0,1,-8.4885197308613,0,31,45,301,1,0,0,313,75,16,-2.16454651055392,0,0,39,14,14,4,12,1,2,10,6,0,0,2,0,1,0,0,0,0,1,1,0,8,59,2,2,10,2,43,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1.0,0,0,0,0,0
2017,2,CIN,REG,HOU,20,35,224,0,0,3,-11,0,0,340,63,8,-9.40579393292207,1.59426917952876,0,24,82,0,1,1,4,-9.94217355136061,0,20,31,224,0,0,0,340,63,8,-2.2950440049638,0,0,41,0,30,5,38,0,3,27,6,0,0,5,0,0,0,0,0,0,0,0,0,7,45,5,6,98,2,76,3,3,0,0,39.0,1.0,0,1,2,0,0,0,0,0,0,0,0,0,39;29;30,,,98,0,0,0,0,0,0,,0,0,0,0,0
2017,2,CLE,REG,BAL,20,42,300,1,4,3,-7,1,1,487,107,12,-13.4957101714973,-9.53162780829839,0,21,93,0,0,0,6,-0.735757183865644,0,20,42,300,1,0,0,487,107,12,-8.23646415417909,0,0,56,0,10,10,31,1,2,16,5,1,0,3,0,1,0,0,1,1,1,1,0,11,65,5,1,0,1,18,1,1,0,0,38.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,38,,,38,0,0,1,1,0,0,1.0,0,0,0,0,0
2017,2,DAL,REG,DEN,30,50,238,2,2,2,-10,0,0,346,60,12,-18.6546683903986,-1.69810500680184,0,14,40,0,0,0,1,-4.09802993066842,0,30,49,238,2,0,0,346,60,12,-15.5138505064502,0,0,51,1,15,4,19,2,2,29,3,1,25,3,0,0,0,0,0,0,1,1,0,8,69,5,1,19,0,0,1,1,0,0,56.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,56,,,56,0,0,2,2,0,0,1.0,0,0,0,0,0
2017,2,DEN,REG,DAL,22,32,231,4,1,2,-29,1,1,247,132,12,5.70620965911217,9.77543920278549,0,39,178,1,0,0,11,-0.248648319015047,0,22,30,231,4,0,0,247,132,12,14.9962530051139,0,0,37,3,11,4,16,0,2,10,7,2,126,7,1,0,0,0,1,1,0,0,0,8,61,1,2,20,1,25,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,49,,0,49,0,6,6,0,0,1.0,0,0,0,0,0
2017,2,DET,REG,NYG,15,21,122,2,0,3,-3,1,1,228,70,7,-0.913572475484698,12.9420000172797,0,32,138,0,0,0,5,-3.39224260539049,0,15,21,122,2,0,0,228,70,7,5.94083849603018,0,1,31,17,17,8,38,1,5,31,8,1,18,6,0,0,0,0,0,0,0,0,0,6,50,1,3,101,1,15,1,1,0,0,56.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,56,,,56,0,0,3,3,0,0,1.0,0,0,0,0,0
2017,2,GB,REG,ATL,33,50,343,2,1,3,-35,1,1,280,240,18,4.3985510109178,-2.53359170592561,0,15,59,1,0,0,4,1.01135268429061,0,33,49,343,2,0,0,280,240,18,15.008256337298,0,0,39,0,20,4,20,0,3,29,7,0,0,2,0,0,0,0,0,0,0,0,0,10,70,3,0,0,0,0,1,1,0,0,28.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,28,,,28,0,0,2,2,0,0,1.0,0,0,0,0,0
2017,2,HOU,REG,CIN,15,24,125,0,0,3,-27,0,0,182,34,6,-4.78939935836062,-1.29851326346397,0,35,168,1,0,0,7,-3.73150068287461,0,15,24,125,0,0,0,182,34,6,0.5214665638883,0,0,38,0,30,6,18,1,3,11,4,0,0,3,0,0,0,0,0,0,1,1,0,9,61,4,3,15,1,17,2,2,0,0,42.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,26;42,,,68,0,0,1,1,0,0,1.0,0,0,0,0,0
2017,2,IND,REG,ARI,20,37,216,0,1,4,-26,1,0,314,89,11,-6.00817643299746,-8.87409498294194,0,29,76,1,0,0,7,-4.5345520133269,0,20,36,216,0,0,0,314,89,11,-2.0011681274213,0,0,44,0,8,7,38,0,4,26,9,1,32,7,0,0,0,0,3,3,0,0,0,8,70,5,4,23,3,79,2,2,0,0,46.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,46;29,,,75,0,0,1,1,0,0,1.0,0,0,0,0,0
